StockCode,YearEnd,Firm age,Number of employees,Managerial/Inside ownership,State ownership,Institutional ownership,Foreign ownership,Total share outstanding,Market value of equity,Dividend payment,EPS,Net sales revenue,Total assets,Selling expenses,General and administrative expenditure,Value of intangible assets,Manufacturing overhead (Indirect cost),Net operating income,Consumption of raw material,Merchandise purchase of the year,Work-in-progress goods purchase,Outside manufacturing expenses,Production cost,R&D,Net income,Total shareholders equity,Total liabilities,Cash and cash equivalents,Long-term debt,Current assets,Current liabilities,Growth ratio,Total inventory,"Net plant, property and equipment",Product innovation,Process innovation,Net cash from operating activities,Capital expenditure,Cash flows from investing activities
LCG,2022,22,391,0.119688,0,0.02423,0.01953,191641170,1.20159E+12,3993325,345,1.00584E+12,5.04784E+12,0,78998735273,50031616,8.76947E+11,2.56805E+11,4.34816E+11,1.22399E+12,9.51111E+11,1.19983E+12,1.85743E+12,NaN,1.94287E+11,2.58301E+12,2.46484E+12,1.00867E+11,73284272746,3.86959E+12,2.28044E+12,0.0745,1.18359E+12,1.65439E+11,0,0,-9.24071E+11,20761091601,6.63186E+11
LCG,2023,23,662,0.093597,0,0.02289,0.02029,191641170,2.04673E+12,1.32749E+11,186,2.00795E+12,5.97914E+12,0,1.07336E+11,0,1.72278E+12,1.33687E+11,9.20937E+11,2.00668E+12,1.42489E+12,1.09708E+12,2.35397E+12,NaN,1.0157E+11,2.5382E+12,3.44093E+12,7.31958E+11,1.51904E+11,4.81962E+12,3.28766E+12,-0.4772,1.46749E+12,1.30598E+11,0,0,7.26751E+11,14239786886,-38761204958
LCG,2024,24,648,0.77,0,0.034,0.0208,195091170,1.88458E+12,96733903498,218,2.81713E+12,6.01987E+12,0,1.58344E+11,0,2.47327E+12,1.58393E+11,2.27422E+12,3.03713E+12,1.987E+12,8.98907E+11,3.51603E+12,NaN,1.20453E+11,2.59111E+12,3.42875E+12,3.5958E+11,1.70874E+11,4.60721E+12,3.25552E+12,0.1859,2.05556E+12,91862612598,0,0,-5.30186E+11,13649504574,-1.17569E+11
MST,2020,12,32,0.223804,0,0.00115,0.001824,35519986,1.97491E+11,0,757,3.44247E+11,1.57894E+12,66000000,15388729995,0,3.15191E+11,32034490610,1130969478,3.38715E+11,97639780642,3.21015E+11,3.3676E+11,NaN,27503875723,5.11755E+11,1.06718E+12,6534730372,2061047598,9.96691E+11,1.06442E+12,1.955025,1.11543E+11,6092143948,0,0,-7.03898E+11,4288300000,4047007513
MST,2021,13,32,0.035493,0,0.010625,0.000606,68140691,1.04392E+12,12447026380,1288,4.65277E+11,1.774E+12,0,21160994336,0,4.03058E+11,86056465526,5963775278,3.44109E+11,25480940602,3.02209E+11,3.30945E+11,NaN,76900698314,8.37611E+11,9.36393E+11,27952161919,3065666026,1.03805E+12,9.33319E+11,1.795995,52594376437,13006839945,0,0,2.50853E+11,8584229091,-1.26026E+11
MST,2022,14,26,0.035493,0,0.024346,0.002255,68140691,2.24183E+11,0,1061,3.74832E+11,1.30154E+12,0,13627040766,0,3.4218E+11,81207314222,8623622095,3.10096E+11,2166973029,2.55672E+11,2.71183E+11,NaN,72364862636,8.34051E+11,4.67485E+11,3563758822,1139063503,2.91161E+11,4.66346E+11,-0.058983,20510985916,4212781911,0,0,1.84209E+11,3682320000,-1.01584E+11
MST,2023,15,15,0.046682,0,0.01344,0.005302,76004301,4.22584E+11,0,955.3,1.20722E+12,1.21896E+12,0,31879604565,0,1.20121E+12,-38352420929,NaN,1.18692E+12,19971886,NaN,NaN,NaN,68295218300,8.31845E+11,3.87117E+11,1622802579,1.20318E+11,2.03327E+11,2.66799E+11,-0.056238,6223728006,712455423,0,0,54393323359,0,13938820652
MST,2024,16,17,0.046682,0,0.012099,0.006169,76004301,4.84907E+11,0,225.5,1.27389E+12,1.75057E+12,0,4861351773,0,1.24663E+12,22988184976,NaN,1.24184E+12,1427884323,NaN,NaN,NaN,17139549264,8.48661E+11,9.01913E+11,3225028300,1.20271E+11,8.94334E+11,7.81642E+11,-0.749037,1427884323,543751791,0,0,-1.63542E+11,0,-11964744929
PVD,2020,20,1558,0.000939,0.504091,0.00751,0.071283,421545789,5.05855E+12,2792342000,442,5.22864E+12,2.08562E+13,16370720328,3.11283E+11,1.74657E+11,4.89984E+12,1.73761E+11,5.72036E+11,5.04305E+12,30393369505,9.33167E+11,4.89984E+12,NaN,1.83824E+11,1.4042E+13,6.81417E+12,9.25197E+11,4.01563E+12,5.10739E+12,2.79854E+12,0.0677,9.58938E+11,1.33216E+13,1,1,1.64203E+11,5.78667E+11,-1.25547E+12
PVD,2021,21,2000,0.000692,0.504091,0.010306,0.05698,421545789,9.25715E+12,2792342000,46,3.99547E+12,2.07612E+13,12925934430,3.85609E+11,1.76988E+11,3.62423E+12,69253805320,8.23147E+11,3.41227E+12,29849708000,5.65351E+11,3.62423E+12,NaN,36769967410,1.38316E+13,6.92962E+12,1.1307E+12,3.89918E+12,5.4288E+12,3.03045E+12,-0.8,7.57836E+11,1.27849E+13,0,0,-3.76403E+11,6.08266E+11,4.57025E+11
PVD,2022,22,1971,0.000149,0.504222,0.044406,0.231963,556296006,9.71293E+12,3490427500,-185,5.4316E+12,2.0704E+13,17630778616,4.92791E+11,1.70903E+11,4.85418E+12,-82914186168,6.7736E+11,5.01656E+12,25750040190,1.17873E+12,4.85418E+12,NaN,-1.54856E+11,1.40785E+13,6.62554E+12,2.07859E+12,3.75731E+12,5.6459E+12,2.86823E+12,-5.2115,9.08561E+11,1.33963E+13,0,1,-83499393907,1.55014E+11,1.20785E+12
PVD,2023,23,1924,2.00E-05,0.504222,0.06845,0.219844,556296006,1.53983E+13,3490427500,1051,5.80441E+12,2.16328E+13,24149229741,5.22515E+11,1.64786E+11,4.49892E+12,5.67133E+11,7.19705E+11,4.59079E+12,52673964560,1.18304E+11,4.49892E+12,NaN,5.45942E+11,1.48982E+13,6.73469E+12,2.25605E+12,3.58855E+12,6.92788E+12,3.14614E+12,-4.5255,9.99896E+11,1.29506E+13,1,1,1.61606E+12,1.48569E+11,-8.94152E+11
PVD,2024,24,2425,5.90E-05,0.504222,0.061115,0.088004,556296006,1.27281E+13,3490427500,1254,9.28806E+12,2.36146E+13,34726143132,6.00493E+11,1.60974E+11,7.53388E+12,9.19355E+11,1.61832E+12,7.74817E+12,33886791498,1.89386E+12,7.53388E+12,NaN,6.97971E+11,1.60523E+13,7.56222E+12,2.20327E+12,3.43812E+12,7.78238E+12,4.1241E+12,0.2785,1.21595E+12,1.27E+13,1,0,1.0369E+12,1.37136E+12,-7.5784E+11
TCM,2020,15,7002,0.000346,0,0.000936,0.445333,62068349,1.69074E+12,29388191425,3775,3.46972E+12,2.97642E+12,1.43976E+11,1.41948E+11,1.83299E+11,2.84953E+12,3.40169E+11,1.39901E+12,2.96422E+12,2.54147E+11,5.70225E+11,3.21205E+12,NaN,2.76228E+11,1.63873E+12,1.33769E+12,2.87922E+11,37596706662,1.7839E+12,1.25693E+12,0.2738,1.00692E+12,6.60766E+11,0,1,3.86658E+11,11750845077,-33781747022
TCM,2021,16,6720,0.156459,0,0.000836,0.46112,71360808,2.82732E+12,31320754750,1700,3.53542E+12,3.60639E+12,1.84397E+11,1.69902E+11,1.81429E+11,3.02191E+12,1.75692E+11,1.67531E+12,3.4802E+12,4.56092E+11,6.18427E+11,3.59217E+12,NaN,1.43659E+11,1.70853E+12,1.89786E+12,2.70469E+11,93227432663,2.35126E+12,1.75742E+12,-0.4799,1.46373E+12,6.44912E+11,1,1,-89271641618,1.16913E+11,-1.16765E+11
TCM,2022,17,6266,0.169473,0,0.00054,0.471443,82047127,3.03903E+12,372513070,2898,4.33739E+12,3.47707E+12,1.77758E+11,1.69804E+11,1.7942E+11,3.62714E+12,3.46322E+11,1.93998E+12,3.42046E+12,3.21069E+11,5.42009E+11,3.87869E+12,NaN,2.81069E+11,1.97886E+12,1.49821E+12,4.22225E+11,1.409E+11,2.16674E+12,1.31189E+12,0.9565,1.25505E+12,7.36557E+11,1,1,2.51602E+11,1.26944E+11,-8610541407
TCM,2023,18,5552,0.169501,0,NaN,0.478689,92697714,3.02658E+12,57887453150,1211,3.32482E+12,3.27936E+12,1.46908E+11,1.36936E+11,1.80436E+11,2.82614E+12,1.8455E+11,1.37664E+12,2.59601E+12,2.43414E+11,4.12254E+11,2.96107E+12,NaN,1.33804E+11,2.01014E+12,1.26923E+12,4.34896E+11,48044329980,2.13075E+12,1.17341E+12,-0.5239,1.02793E+12,7.55577E+11,1,1,4.13953E+11,41951368033,-62405614698
TCM,2024,19,5798,0.100864,0,NaN,0.49805,101955482,4.29844E+12,737065500,2548,3.81045E+12,3.89553E+12,1.54258E+11,1.49831E+11,1.79313E+11,3.19379E+12,3.3942E+11,1.6169E+12,3.17259E+12,2.20321E+11,5.97819E+11,3.4694E+12,NaN,2.78069E+11,2.27174E+12,1.62379E+12,5.6328E+11,59608479700,2.69004E+12,1.51828E+12,1.0782,1.00274E+12,8.45462E+11,1,1,3.91611E+11,2.3718E+11,-3.51953E+11
VOS,2020,51,772,0.511542,0.51,NaN,0.00242,140000000,2.996E+11,2044000,-700,1.27727E+12,2.79596E+12,27011056816,87603554653,8868292622,1.31099E+12,-2.59921E+11,4.44387E+11,1.29504E+12,NaN,4.2901E+11,1.4256E+12,NaN,-1.87258E+11,5.08497E+11,2.28746E+12,53009600464,1.37551E+12,8.29328E+11,9.1195E+11,-4.6667,75028554197,1.79303E+12,0,0,34802031464,5995260733,77693453410
VOS,2021,52,922,0.510734,0.51,NaN,0.020658,140000000,2.4766E+12,56438260,1834,1.42385E+12,2.74662E+12,43126578020,1.0522E+11,8582789266,9.70742E+11,3.54374E+11,2.55884E+11,9.85823E+11,NaN,3.08713E+11,1.11909E+12,NaN,4.90304E+11,1.00911E+12,1.73751E+12,1.03218E+11,1.01055E+12,1.09205E+12,7.26956E+11,-3.6183,90110209457,1.49072E+12,0,1,7.0866E+11,12852092018,27728958680
VOS,2022,53,849,0.510734,0.51,NaN,0.011065,140000000,1.5246E+12,6892000,1585,2.42043E+12,2.6781E+12,79172062563,1.0577E+11,8335812723,1.68267E+12,5.30961E+11,6.33455E+11,1.73466E+12,NaN,6.20615E+11,1.85296E+12,NaN,4.87942E+11,1.52805E+12,1.15004E+12,34751927582,5.18793E+11,1.1984E+12,6.31249E+11,-0.0048,1.42102E+11,1.20875E+12,0,1,5.62641E+11,19781791265,7186730574
VOS,2023,54,716,0.510578,0.51,NaN,0.008426,140000000,1.4854E+12,24360000,472,3.18747E+12,2.71515E+12,59837274408,75556618491,8158880601,3.00566E+12,81156381774,6.60457E+11,2.98682E+12,NaN,7.78101E+11,1.96681E+12,NaN,1.55371E+11,1.67214E+12,1.043E+12,2.60407E+11,5.18734E+11,1.58102E+12,5.2427E+11,-0.6816,1.23258E+11,9.3799E+11,0,1,3.65131E+11,13918898746,-1.39399E+11
VOS,2024,55,670,0.512023,0.51,NaN,0.00776,140000000,2.2148E+12,0,776,5.57612E+12,2.89119E+12,63340144466,97146278764,8633982496,5.44899E+12,24689397651,6.42239E+11,5.43095E+12,NaN,8.27309E+11,2.22546E+12,NaN,3.35255E+11,1.98892E+12,9.02267E+11,4.94056E+11,4.92721E+11,2.09892E+12,4.09546E+11,1.1578,1.05227E+11,4.75213E+11,0,1,68526350941,1.11398E+11,1.47776E+11
